clae,clae6_desc,prestadores,establecimientos,edicion,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
492140,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para Ã¡mbito portuario o aeroportuario, servicio de hipÃ³dromos y espectÃ¡culos deportivos y culturales)",33,s/d,previaje 1,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492150,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",85,s/d,previaje 1,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492160,Servicio de transporte automotor interurbano no regular de pasajeros,24,s/d,previaje 1,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492180,Servicio de transporte automotor turÃ­stico de pasajeros,223,s/d,previaje 1,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492190,Servicio de transporte automotor de pasajeros n.c.p.,88,s/d,previaje 1,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
501100,Servicio de transporte marÃ­timo de pasajeros,18,s/d,previaje 1,501,Servicio de transporte marÃ­timo,50,Transporte marÃ­timo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
502101,Servicio de transporte fluvial y lacustre de pasajeros,20,s/d,previaje 1,502,Servicio de transporte fluvial y lacustre,50,Transporte marÃ­timo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
511000,Servicio de transporte aÃ©reo de pasajeros,16,s/d,previaje 1,511,Servicio de transporte aÃ©reo de pasajeros,51,Transporte aÃ©reo,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
522091,Servicios de usuarios directos de zona franca,3,s/d,previaje 1,522,Servicios de almacenamiento y depÃ³sito,52,Almacenamiento y logÃ­stica,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
524130,Servicios de estaciones terminales de Ã³mnibus y ferroviÃ¡rias,1,s/d,previaje 1,524,Servicios complementarios para el transporte,52,Almacenamiento y logÃ­stica,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
551022,"Servicios de alojamiento en hoteles, hosterÃ­as y residenciales similares, excepto por hora, que incluyen servicio de restaurante al pÃºblico",1339,s/d,previaje 1,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,"Servicios de alojamiento en hoteles, hosterÃ­as y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al pÃºblico",2926,s/d,previaje 1,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turÃ­sticos, etc.)",1822,s/d,previaje 1,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,Servicios de alojamiento en campings (Incluye refugios de montaÃ±a),93,s/d,previaje 1,552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561011,Servicios de restaurantes y cantinas sin espectÃ¡culo,351,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561012,Servicios de restaurantes y cantinas con espectÃ¡culo,79,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
